RunCourse_ID,Class,Run_StartDate,Run_EndDate,Registration_End,Run_StartTime,Run_EndTime,Run_Days,Run_MinSlots,Run_MaxSlots,Run_Status,Run_Venue,Run_Fees,Run_Desc
DATA201801,1,2018-01-02,2018-01-02,2018-01-01,9:00:00,17:00:00,1,10,30,ended,SIS SR2.4,12.84,Nil
DATA201802,1,2018-01-03,2018-01-05,2018-01-02,9:00:00,17:00:00,3,20,30,ended,SIS SR2.4,34.24,Nil
DATA201803,1,2018-05-02,2018-05-03,2018-05-01,9:00:00,17:00:00,2,10,30,ended,SR2.4,21.4,Nil
DATA201804,1,2018-05-07,2018-05-08,2018-05-06,12:00:00,18:00:00,2,12,45,ended,SR3.3,21.4,Nil
DATA201805,1,2018-05-09,2018-05-10,2018-05-08,9:30:00,17:00:00,2.5,12,25,ended,SIS SR 2.3,42.8,Nil
DATA201806,1,2018-05-16,2018-05-16,2018-05-15,10:00:00,13:00:00,0.5,5,45,ended,SIS SR 2.3,10.7,Nil
DATA201807,1,2018-05-17,2018-05-17,2018-05-16,10:30:00,15:30:00,1,15,30,ended,SIS SR 2.3,10.7,Nil
DATA201808,1,2018-05-21,2018-05-22,2018-05-20,9:00:00,17:00:00,2,10,40,ended,SIS SR 2.3,21.4,Nil
DATA201809,1,2018-06-20,2018-06-20,2018-06-19,10:00:00,17:00:00,1,5,45,ended,SIS SRB1-1,10.7,Nil
DATA201810,1,2018-08-13,2018-08-17,2018-08-12,9:30:00,12:30:00,5,15,30,ended,SIS SR 2.3,21.4,Nil
DATA201811,1,2018-08-13,2018-08-14,2018-08-12,10:00:00,17:00:00,2,15,30,ended,SIS SR 2.3,21.4,Nil
DATA201812,1,2019-01-03,2019-01-04,2019-01-02,9:00:00,17:00:00,2,15,40,ended,SIS SR 2.3,21.4,Nil
DATA201813,1,2018-01-03,2018-01-03,2018-01-02,14:00:00,17:00:00,1,5,40,ended,SIS SR 2.3,10.7,Nil
DATA201814,1,2018-12-17,2018-12-18,2018-12-16,9:30:00,17:00:00,1.5,15,30,ended,SIS SR2.4,21.4,Nil
DATA201901,1,2019-04-29,2019-04-30,2019-04-28,9:00:00,17:00:00,2,15,30,ended,SIS SR 2.3,21.4,Nil
DATA201902,1,2019-05-02,2019-05-02,2019-05-01,9:00:00,17:00:00,1,15,30,ended,SIS SR 2.3,10.7,Nil
DATA201903,1,2019-06-05,2019-06-05,2019-06-04,10:00:00,13:00:00,0.5,5,40,ended,SIS SR 2.3,0,Nil
DATA201904,1,2019-06-19,2019-06-19,2019-06-18,10:00:00,17:00:00,1,5,30,ended,SIS SR 2.3,10.7,Nil
DATA201905,1,2019-10-03,2019-10-03,2019-10-02,19:15:00,21:15:00,1,15,40,ended,SIS SR 2.3,0,Nil
DATA202001,1,2020-05-05,2020-05-06,2020-05-04,9:00:00,17:00:00,2,15,30,ended,SIS SR 2.3,21.4,Nil
DATA202002,1,2020-05-11,2020-12-15,2020-05-10,9:00:00,17:00:00,1,25,50,ended,SIS SR 2.3,10.7,Nil
DATA202003,1,2020-05-26,2020-05-28,2020-05-25,9:30:00,17:30:00,3,15,40,ended,SIS SR 2.3,21.4,Nil
DATA202004,1,2020-07-01,2020-07-01,2020-06-30,9:00:00,17:00:00,1,5,30,ended,SIS SR 2.3,10,Nil
DATA202005,1,2020-07-22,2020-07-23,2020-07-21,9:00:00,17:00:00,1,10,30,ended,SIS SR 2.3,10,Nil
DATA202006,1,2020-07-29,2020-07-29,2020-07-28,9:00:00,13:00:00,0.5,10,80,ended,SIS SR 2.3,0,Nil
DATA202007,1,2020-05-12,2020-05-13,2020-05-11,10:00:00,12:00:00,1,15,30,ended,SIS SR 2.3,15,Nil
DATA202008,1,2020-08-12,2020-08-13,2020-08-11,19:30:00,21:30:00,1,15,30,ended,SIS SR 2.3,15,Nil
DATA202101,1,2021-02-20,2021-03-13,2021-02-19,0:00:00,0:00:00,1,15,30,ended,SIS SR 2.3,0,Nil
DATA202102,1,2021-05-04,2021-05-04,2021-05-03,10:00:00,17:00:00,1,10,30,ended,SIS SR 2.3,0,Nil
DATA202103,1,2021-05-14,2021-05-14,2021-05-13,9:00:00,12:00:00,0.5,10,80,ended,SIS SR 2.3,0,Nil
DATA202104,1,2021-05-20,2021-05-20,2021-05-19,10:00:00,17:00:00,1,10,40,ended,SIS SR 2.3,0,Nil
DATA202105,1,2021-07-28,2021-07-30,2021-07-27,9:30:00,17:00:00,3,15,40,ended,SIS SR 2.3,0,Nil
DATA202106,1,2021-07-22,2021-08-27,2021-07-21,0:00:00,0:00:00,6,15,30,ended,SIS SR 2.3,0,Nil
DATA202107,1,2021-07-15,2021-07-30,2021-07-14,9:30:00,17:30:00,10,15,30,ended,SIS SR 2.3,0,Nil
DATA202108,1,2021-06-01,2021-06-05,2021-05-31,0:00:00,0:00:00,1,15,30,ended,SIS SR 2.3,15,Nil
DATA202009,1,2020-10-30,2020-10-30,2020-10-29,9:00:00,17:00:00,1,15,30,ended,SIS SR 2.3,15,Nil
DATA202010,1,2020-10-06,2020-10-06,2020-10-05,9:00:00,17:00:00,1,15,30,ended,SIS SR 2.3,15,Nil
DATA202011,1,2020-07-01,2020-07-02,2020-06-30,9:00:00,17:00:00,1,15,30,ended,SIS SR 2.3,15,Nil
